species,decimallongitude,decimallatitude
Q_douglasii,-121.088944,38.684467
Q_douglasii,-121.697919,37.577041
Q_douglasii,-121.182492,36.490566
Q_douglasii,-121.723015,37.094387
Q_douglasii,-121.217889,36.502228
Q_douglasii,-121.256151,38.846323
Q_douglasii,-121.747841,38.536515
Q_douglasii,-121.531487,37.18243
Q_douglasii,-121.489167,37.391362
Q_douglasii,-121.864364,37.956845
Q_douglasii,-122.354744,38.504575
Q_douglasii,-121.94962,37.910956
Q_douglasii,-121.825219,37.529322
Q_douglasii,-121.825303,37.529372
Q_douglasii,-122.491587,38.010361
Q_douglasii,-119.548132,37.038941
Q_douglasii,-121.914153,37.881591
Q_douglasii,-120.8313,36.363647
Q_douglasii,-120.043144,34.691713
Q_douglasii,-118.834922,36.491143
Q_douglasii,-121.535704,37.186101
Q_douglasii,-121.517263,37.173613
Q_douglasii,-121.514023,37.168618
Q_douglasii,-121.531488,37.181985
Q_douglasii,-119.015983,36.627105
Q_douglasii,-121.734958,37.162869
Q_douglasii,-122.688257,38.048764
Q_douglasii,-118.489599,35.10417
Q_douglasii,-118.536026,35.316083
Q_douglasii,-118.422921,35.383087
Q_douglasii,-122.173759,37.423008
Q_douglasii,-120.84779,35.77026
Q_douglasii,-119.078333,35.353889
Q_douglasii,-122.721667,38.648889
Q_douglasii,-119.876111,37.460278
Q_douglasii,-118.314,33.33
Q_douglasii,-122.1833,37.4308
Q_douglasii,-118.418627,33.349817
Q_douglasii,-118.843056,34.834722
Q_douglasii,-122.0985,37.3646
Q_douglasii,-122.1736,37.425
Q_douglasii,-121.9503,37.8749
Q_douglasii,-121.643097,37.342098
Q_douglasii,-123.199,39.1506
Q_douglasii,-122.1736,37.425
Q_douglasii,-121.9503,37.8749
Q_douglasii,-121.658333,37.341667
Q_douglasii,-118.844593,36.326153
Q_douglasii,-122.1863,37.3999
Q_douglasii,-122.1736,37.425
Q_douglasii,-121.941345,40.79400755
Q_douglasii,-123.0886,39.8449
Q_douglasii,-122.1736,37.425
Q_douglasii,-121.658333,37.341667
Q_douglasii,-122.1736,37.425
Q_douglasii,-121.8614,37.5595
Q_douglasii,-119.416667,36.958333
Q_douglasii,-123.0412,39.4182
Q_douglasii,-118.408885,33.33164
Q_douglasii,-121.85,37.161667
Q_douglasii,-121.9503,37.8749
Q_douglasii,-122.0985,37.3646
Q_douglasii,-122.0344,37.2202
Q_douglasii,-121.9503,37.8749
Q_douglasii,-122.513966,37.991143
Q_douglasii,-123.08322,38.92536
Q_douglasii,-120.9341164,38.35608788
Q_douglasii,-121.6585,37.3785
Q_douglasii,-121.9421,37.8727
Q_douglasii,-121.9503,37.8749
Q_douglasii,-118.44193,33.345443
Q_douglasii,-121.9474,37.8986
Q_douglasii,-122.630209,38.668465
Q_douglasii,-122.866667,39.116667
Q_douglasii,-121.6585,37.3785
Q_douglasii,-122.0567,37.9074
Q_douglasii,-122.1898,37.3539
Q_douglasii,-121.344444,39.495278
Q_douglasii,-122.544129,37.977041
Q_douglasii,-121.643097,37.342098
Q_douglasii,-118.4341705,33.35405416
Q_douglasii,-119.078333,35.353889
Q_douglasii,-122.721667,38.648889
Q_douglasii,-119.876111,37.460278
Q_douglasii,-118.740385,36.429508
Q_douglasii,-121.943373,37.918837
Q_douglasii,-121.734523,37.168483
Q_douglasii,-122.853547,39.47569
Q_douglasii,-121.244761,38.752887
Q_douglasii,-122.616889,37.956668
Q_douglasii,-121.748528,37.867138
Q_douglasii,-118.830071,36.223127
Q_douglasii,-118.830054,36.223261
Q_douglasii,-122.033794,37.895768
Q_douglasii,-118.656395,34.774642
Q_douglasii,-121.949905,37.87722
Q_douglasii,-122.2603,40.251544
Q_douglasii,-120.482858,35.457187
Q_douglasii,-120.850962,36.360447
Q_douglasii,-122.334911,38.819892
Q_douglasii,-122.514086,38.360551
Q_douglasii,-121.917041,37.86001
Q_douglasii,-122.030976,37.8971
Q_douglasii,-122.243538,38.279727
Q_douglasii,-121.192353,38.672782
Q_douglasii,-122.745247,38.609604
Q_douglasii,-122.783669,38.611702
Q_douglasii,-120.668563,36.42463
Q_douglasii,-121.208874,36.493012
Q_douglasii,-122.128583,37.983913
Q_douglasii,-122.134597,37.984949
Q_douglasii,-122.132089,37.98575
Q_douglasii,-122.130707,37.984499
Q_douglasii,-121.02713,39.285098
Q_douglasii,-121.95153,37.915337
Q_douglasii,-123.068247,39.015122
Q_douglasii,-121.641177,37.156984
Q_douglasii,-122.61767,38.64347
Q_douglasii,-122.33935,38.773
Q_douglasii,-122.62332,38.91997
Q_douglasii,-122.2353,38.5709
Q_douglasii,-121.78216,39.22895
Q_douglasii,-122.80254,38.99961
Q_douglasii,-122.40563,38.56388
Q_douglasii,-122.511255,39.056683
Q_douglasii,-118.697571,34.858453
Q_douglasii,-120.975687,38.943558
Q_douglasii,-121.226739,36.462352
Q_douglasii,-121.886693,37.898557
Q_douglasii,-120.000817,34.742887
Q_douglasii,-121.768203,39.220281
Q_douglasii,-121.22037,36.477555
Q_douglasii,-121.664789,37.329435
Q_douglasii,-122.45121,39.027719
Q_douglasii,-118.693722,34.854581
Q_douglasii,-118.692055,34.853508
Q_douglasii,-121.466194,37.075861
Q_douglasii,-121.114319,36.658312
Q_douglasii,-120.049558,34.742533
Q_douglasii,-121.732675,37.389497
Q_douglasii,-121.792998,37.819679
Q_douglasii,-121.734395,37.169427
